Tipo Test, Tipo Config. Cassa, Num Cassieri, Giorno, IC Tempo Attesa, IC Slowdown, IC SD Tempo Att, IC Abbandoni, IC Arrivi, Lungh. Fila Tollerata, Num Simulazioni, alpha
6, sperimentale_60_20_20, 1, mercoledì, "[61.731022, 4.339428]", "[1.936881, 0.067383]", "[23983.202386, 16873.602866]", "[76.700000, 13.594484]", "[4197.300000, 63.550059]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, giovedì, "[58.748731, 4.058264]", "[1.890411, 0.066083]", "[6456.861280, 14267.302020]", "[66.200000, 15.038617]", "[4173.500000, 67.225367]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, venerdì, "[56.234938, 5.285302]", "[1.852268, 0.080964]", "[17634.391103, 14012.885514]", "[52.800000, 13.869391]", "[4146.900000, 66.390436]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, sabato, "[50.341673, 4.545540]", "[1.762528, 0.072231]", "[35014.538367, 12242.924654]", "[36.300000, 9.757561]", "[3895.400000, 64.617645]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, domenica, "[43.823929, 4.251776]", "[1.664823, 0.066788]", "[43706.051268, 10996.588767]", "[25.200000, 8.109254]", "[3581.600000, 57.194755]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, lunedì, "[57.856947, 3.801103]", "[1.874682, 0.059996]", "[30626.826462, 14229.626527]", "[66.900000, 9.669023]", "[4116.500000, 66.169857]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, martedì, "[50.785404, 3.985239]", "[1.766161, 0.062659]", "[34788.042687, 11993.217618]", "[36.700000, 9.381365]", "[3967.100000, 69.249477]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, mercoledì, "[61.509609, 4.318487]", "[1.929890, 0.066753]", "[23963.352765, 16925.356588]", "[76.700000, 13.594484]", "[4197.300000, 63.550059]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, giovedì, "[58.541748, 4.039305]", "[1.883871, 0.065541]", "[6477.908537, 14331.112931]", "[66.200000, 15.038617]", "[4173.500000, 67.225367]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, venerdì, "[56.037000, 5.268734]", "[1.846012, 0.080454]", "[17616.480543, 14077.685804]", "[52.800000, 13.869391]", "[4146.900000, 66.390436]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, sabato, "[50.165826, 4.531539]", "[1.756965, 0.071815]", "[34939.657882, 12284.650323]", "[36.300000, 9.757561]", "[3895.400000, 64.617645]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, domenica, "[43.671045, 4.229343]", "[1.659999, 0.066061]", "[43592.027085, 10994.757134]", "[25.200000, 8.109254]", "[3581.600000, 57.194755]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, lunedì, "[57.811529, 3.800996]", "[1.873252, 0.059985]", "[30610.833887, 14239.859718]", "[66.900000, 9.669023]", "[4116.500000, 66.169857]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, martedì, "[50.748566, 3.981007]", "[1.764998, 0.062517]", "[34767.640505, 12001.415030]", "[36.700000, 9.381365]", "[3967.100000, 69.249477]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, mercoledì, "[61.460084, 4.313135]", "[1.928322, 0.066587]", "[23954.353178, 16938.077001]", "[76.700000, 13.594484]", "[4197.300000, 63.550059]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, giovedì, "[58.495180, 4.034435]", "[1.882380, 0.065355]", "[6489.792732, 14357.570852]", "[66.200000, 15.038617]", "[4173.500000, 67.225367]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, venerdì, "[55.993583, 5.264754]", "[1.844636, 0.080315]", "[17611.613371, 14104.625857]", "[52.800000, 13.869391]", "[4146.900000, 66.390436]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, sabato, "[50.129553, 4.527976]", "[1.755812, 0.071701]", "[34922.331384, 12285.371886]", "[36.300000, 9.757561]", "[3895.400000, 64.617645]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, domenica, "[43.640621, 4.225662]", "[1.659035, 0.065962]", "[43563.474296, 10991.437228]", "[25.200000, 8.109254]", "[3581.600000, 57.194755]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, lunedì, "[55.077888, 4.057194]", "[1.851864, 0.062352]", "[29211.074087, 15268.631352]", "[66.900000, 9.669023]", "[4116.500000, 66.169857]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, martedì, "[48.334051, 4.178959]", "[1.746096, 0.064306]", "[33102.715012, 13021.265902]", "[36.700000, 9.381365]", "[3967.100000, 69.249477]", 10, 10, 0.050000
